Código,Tipo,Nombre comercial,Fabricante,F. de registro,Url
F0000063/2021,Abono órgano-mineral NPK,BOY 12,"JOSE FUSTE, S.A.",27/04/2011,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=63
F0000065/2021,Abono órgano-mineral NPK,BOY 10,"JOSE FUSTE, S.A.",27/04/2011,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=65
F0000347/2028,Abono orgánico NPK de origen animal,HORTYFLOR,"ESTEVENATUR, S.L.",09/04/2018,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=347
F0000791/2028,Enmienda orgánica húmica,NATURCOMPLET,DAYMSA,27/03/2018,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=791
F0001455/2020,Enmienda orgánica húmica,CULTIVIT Fe,"AGRIBECO, S.L.",07/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1455
F0001456/2020,Enmienda orgánica húmica,CULTIVIT ECOLÓGICO,"AGRIBECO, S.L.",07/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1456
F0001457/2020,Enmienda orgánica húmica,CULTIVIT MO ACTIV PELLET,"AGRIBECO, S.L.",07/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1457
F0001458/2020,Enmienda orgánica húmica,CULTIVIT ACTIV ECOLÓGICO,"AGRIBECO, S.L.",07/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1458
F0001461/2020,Enmienda orgánica húmica,HORTIDUNG FE,"AGRIBECO, S.L.",15/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1461
F0001462/2020,Enmienda orgánica húmica,HORTIDUNG MO ACTIV PELLET,"AGRIBECO, S.L.",15/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1462
F0001473/2020,Enmienda orgánica Vermicompost,HUMUS DE LOMBRIZ ECOCELTA,"ECOCELTA GALICIA,S.L.",17/08/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1473
F0001660/2021,Abono orgánico NK líquido de origen vegetal,EKONE,"NUTRICROP, S.L.",31/05/2011,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1660
F0001677/2021,Abono orgánico NK líquido de origen vegetal,EKOVITAL,"NUTRICROP, S.L.",07/12/2011,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1677
F0001708/2022,Abono órgano-mineral NK líquido,CALINA DESARROLLO,"NUTRIENTES FOLIARES, S.A.",15/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1708
F0001711/2022,Abono órgano-mineral NK líquido,CALINA DESBLOQUEANTE,"NUTRIENTES FOLIARES, S.A.",15/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1711
F0001712/2022,Abono órgano-mineral NK líquido,CALINA  BIOCALCICO,"NUTRIENTES FOLIARES, S.A.",15/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1712
F0001713/2021,Abono orgánico NPK de origen animal y vegetal,OVIFERT PELET,"DEFEDER ALCOLEA, S.L.",05/10/2011,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1713
F0001722/2022,Abono órgano-mineral NPK líquido,12-3-6+2%MO TOV UREICO (R),"GAT FERTILIQUIDOS, S.A.",24/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1722
F0001724/2022,Abono órgano-mineral NPK líquido,"5-3-9+2%MO+0,8MgO Suspen Sulfa","GAT FERTILIQUIDOS, S.A.",07/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1724
F0001725/2022,Abono órgano-mineral NPK líquido,8-8-8+2%MO TOV UREICO (R),"GAT FERTILIQUIDOS, S.A.",24/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1725
F0001726/2022,Abono órgano-mineral NPK líquido,4-8-10+2%MO TOV UR (R),"GAT FERTILIQUIDOS, S.A.",04/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1726
F0001727/2022,Abono órgano-mineral NPK líquido,5-5-5+10% MO SUSPENSION,"GAT FERTILIQUIDOS, S.A.",24/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1727
F0001728/2022,Abono órgano-mineral NK líquido,10-1-10+2%MO TOV UR (R),"GAT FERTILIQUIDOS, S.A.",24/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1728
F0001729/2022,Abono órgano-mineral NK líquido,"2,8-0-7,5+20%MO SNI ","GAT FERTILIQUIDOS, S.A.",23/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1729
F0001731/2022,Abono órgano-mineral NK líquido,VIGOR-E COMPLEX,"NOVASYS PHARMA, S.L.",29/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1731
F0001732/2022,Abono orgánico nitrogenado de origen vegetal,AFICAM ORGANICO PLUS,"MIGUEL ANGEL CAMARERO, S.L.",09/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1732
F0001733/2022,Abono orgánico nitrogenado de origen vegetal,AFICAM ORGANICO COMPLEX,"MIGUEL ANGEL CAMARERO, S.L.",09/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1733
F0001734/2022,Abono órgano-mineral NK con lignito o leonardita,ZELSIUS,"COMERCIAL QUÍMICA MASSÓ, S.A.",14/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1734
