Código,Tipo,Nombre comercial,Fabricante,F. de registro,Url,Composition
F0000063/2021,Abono órgano-mineral NPK,BOY 12,"JOSE FUSTE, S.A.",27/04/2011,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=63,"6,0% Nitrógeno (N); 10,0% Fósforo (P); 6,0% Potasio (K)"
F0000065/2021,Abono órgano-mineral NPK,BOY 10,"JOSE FUSTE, S.A.",27/04/2011,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=65,"5,0% Nitrógeno (N); 7,0% Fósforo (P); 10,0% Potasio (K)"
F0000347/2028,Abono orgánico NPK de origen animal,HORTYFLOR,"ESTEVENATUR, S.L.",09/04/2018,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=347,"3,0% Nitrógeno (N); 3,0% Fósforo (P); 3,0% Potasio (K)"
F0000791/2028,Enmienda orgánica húmica,NATURCOMPLET,DAYMSA,27/03/2018,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=791,"1,0% Hierro (Fe)"
F0001455/2020,Enmienda orgánica húmica,CULTIVIT Fe,"AGRIBECO, S.L.",07/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1455,"2,3% Nitrógeno (N); 1,8% Fósforo (P); 1,5% Potasio (K); 2,0% Hierro (Fe)"
F0001456/2020,Enmienda orgánica húmica,CULTIVIT ECOLÓGICO,"AGRIBECO, S.L.",07/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1456,"1,6% Nitrógeno (N); 1,2% Fósforo (P); 2,3% Potasio (K)"
F0001457/2020,Enmienda orgánica húmica,CULTIVIT MO ACTIV PELLET,"AGRIBECO, S.L.",07/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1457,"2,8% Nitrógeno (N); 3,0% Fósforo (P); 2,1% Potasio (K); 2,0% Hierro (Fe)"
F0001458/2020,Enmienda orgánica húmica,CULTIVIT ACTIV ECOLÓGICO,"AGRIBECO, S.L.",07/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1458,"3,0% Nitrógeno (N); 2,4% Fósforo (P); 2,5% Potasio (K)"
F0001461/2020,Enmienda orgánica húmica,HORTIDUNG FE,"AGRIBECO, S.L.",15/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1461,"2,1% Nitrógeno (N); 2,5% Fósforo (P); 1,7% Potasio (K); 1,9% Hierro (Fe)"
F0001462/2020,Enmienda orgánica húmica,HORTIDUNG MO ACTIV PELLET,"AGRIBECO, S.L.",15/07/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1462,"1,5% Nitrógeno (N); 3,0% Fósforo (P); 2,0% Potasio (K); 2,0% Hierro (Fe)"
F0001473/2020,Enmienda orgánica Vermicompost,HUMUS DE LOMBRIZ ECOCELTA,"ECOCELTA GALICIA,S.L.",17/08/2010,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1473,"1,4% Nitrógeno (N); 1,3% Fósforo (P); 1,3% Potasio (K)"
F0001660/2021,Abono orgánico NK líquido de origen vegetal,EKONE,"NUTRICROP, S.L.",31/05/2011,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1660,"2,0-3,0% Nitrógeno (N); 4,0-5,5% Potasio (K)"
F0001677/2021,Abono orgánico NK líquido de origen vegetal,EKOVITAL,"NUTRICROP, S.L.",07/12/2011,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1677,"2,0-3,0% Nitrógeno (N); 4,0-5,5% Potasio (K)"
F0001708/2022,Abono órgano-mineral NK líquido,CALINA DESARROLLO,"NUTRIENTES FOLIARES, S.A.",15/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1708,"3,0% Nitrógeno (N)"
F0001711/2022,Abono órgano-mineral NK líquido,CALINA DESBLOQUEANTE,"NUTRIENTES FOLIARES, S.A.",15/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1711,"3,0% Nitrógeno (N)"
F0001712/2022,Abono órgano-mineral NK líquido,CALINA  BIOCALCICO,"NUTRIENTES FOLIARES, S.A.",15/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1712,"2,0% Nitrógeno (N)"
